score,lg_sf_pred,lg_sf_heur,lg_sf_real
# threads = 40
# n = 50
# lgT = 40
# fft = 16
# satrat = 0.9
# radius = 1.18
# q = 3329
# doubledb = False
# exptime = False
# v = False
# N = 1768
# walltime = 410.787
# cputime = 9.274
# saturation radius = 1.18
201.609,-32.720,-37.284,-32.541
201.649,-32.725,-37.298,-32.549
201.684,-32.730,-37.310,-32.557
201.704,-32.732,-37.316,-32.565
201.765,-32.740,-37.337,-32.574
201.983,-32.768,-37.410,-32.582
202.000,-32.770,-37.416,-32.591
202.060,-32.778,-37.436,-32.599
202.192,-32.794,-37.481,-32.608
202.201,-32.795,-37.484,-32.616
202.216,-32.797,-37.489,-32.625
202.229,-32.799,-37.493,-32.634
202.248,-32.801,-37.499,-32.642
202.293,-32.807,-37.515,-32.651
202.319,-32.810,-37.523,-32.660
202.355,-32.815,-37.536,-32.669
202.383,-32.818,-37.545,-32.678
202.665,-32.854,-37.640,-32.687
202.672,-32.854,-37.642,-32.696
202.732,-32.862,-37.663,-32.705
202.921,-32.885,-37.727,-32.715
202.987,-32.893,-37.749,-32.724
202.989,-32.894,-37.749,-32.733
203.226,-32.923,-37.830,-32.743
203.233,-32.924,-37.832,-32.752
203.422,-32.947,-37.896,-32.762
203.485,-32.954,-37.918,-32.771
203.537,-32.961,-37.935,-32.781
203.595,-32.968,-37.955,-32.791
203.719,-32.983,-37.997,-32.800
204.074,-33.025,-38.118,-32.810
204.109,-33.029,-38.129,-32.820
204.240,-33.045,-38.174,-32.830
204.261,-33.048,-38.181,-32.840
204.444,-33.069,-38.243,-32.850
204.498,-33.075,-38.261,-32.860
204.613,-33.089,-38.301,-32.871
204.665,-33.095,-38.319,-32.881
204.724,-33.102,-38.339,-32.891
205.002,-33.134,-38.433,-32.902
205.033,-33.138,-38.444,-32.913
205.229,-33.161,-38.511,-32.923
205.557,-33.199,-38.623,-32.934
205.639,-33.208,-38.651,-32.945
205.654,-33.210,-38.656,-32.956
205.660,-33.210,-38.658,-32.967
205.938,-33.242,-38.754,-32.978
205.946,-33.243,-38.756,-32.989
205.961,-33.245,-38.762,-33.000
206.220,-33.274,-38.850,-33.011
206.243,-33.276,-38.858,-33.023
206.352,-33.289,-38.896,-33.034
206.488,-33.304,-38.942,-33.046
206.719,-33.329,-39.022,-33.057
206.862,-33.345,-39.071,-33.069
206.926,-33.353,-39.093,-33.081
